Company,LTP,%Change ,Volume ,Buy Price,Sell Price,Buy Qty,Sell Qty
3M India,"19,505.15",1.96,5023,0.00,0.00,0,0
AAVAS Financier,"1,144.65",-2.65,72369,0.00,1144.65,0,1
AB Capital,48.35,2.76,2488329,0.00,48.35,0,1535
ABB India,883.35,-1.13,47484,883.35,0.00,212,0
ACC,"1,137.90",-1.62,1469480,1137.90,0.00,26,0
Adani Green Ene,200.65,2.40,391809,0.00,200.65,0,1
Adani Ports,271.15,0.18,1845577,271.15,0.00,67,0
Adani Power,30.85,0.65,8557927,0.00,30.85,0,172
Adani Trans,199.60,1.81,169473,199.60,0.00,241,0
Aditya Birla F,115.95,-3.21,1088209,115.95,0.00,911,0
Advanced Enzyme,140.55,-0.18,57407,140.55,0.00,3,0
Aegis Logistics,172.75,-3.68,232691,172.75,0.00,96,0
AIA Engineering,"1,479.75",-0.52,21213,0.00,1479.75,0,5
Ajanta Pharma,"1,506.10",4.30,334317,1506.10,0.00,1573,0
Akzo Nobel,"2,049.25",3.02,8988,0.00,2049.25,0,7
Alembic Pharma,817.30,7.51,2271528,0.00,817.30,0,3115
Alkem Lab,"2,777.50",1.57,285585,2777.50,0.00,74,0
Allahabad Bank,7.60,0.00,2130293,7.60,0.00,3613,0
Allcargo,70.95,1.87,56662,70.95,0.00,50,0
Amara Raja Batt,541.65,1.79,620570,0.00,541.65,0,94
Ambuja Cements,172.30,2.59,4140719,172.30,0.00,3865,0
Andhra Bank,9.10,0.00,1119198,0.00,9.10,0,1300
APL Apollo,"1,257.50",-3.04,31248,0.00,1257.50,0,474
Apollo Hospital,"1,418.90",4.37,1179829,1418.90,0.00,35,0
Apollo Tyres,89.70,-0.28,3489867,0.00,89.70,0,1092
Ashok Leyland,44.30,-1.45,20228019,44.30,0.00,7266,0
Ashoka Buildcon,59.65,-0.83,226743,0.00,59.65,0,150
Asian Paints,"1,851.35",1.30,1770892,1851.35,0.00,220,0
Aster DM Health,103.80,-0.43,231734,0.00,103.80,0,1110
Astral Poly Tec,943.15,5.14,113442,943.15,0.00,433,0
AstraZeneca,"2,823.70",2.08,66814,2823.70,0.00,115,0
Atul,"4,752.80",3.33,80720,0.00,0.00,0,0
AU Small Financ,516.20,-0.36,430452,0.00,516.20,0,80
Aurobindo Pharm,633.80,1.50,7395523,633.80,0.00,70,0
Avanti Feeds,400.00,1.24,186782,400.00,0.00,99,0
Avenue Supermar,"2,323.95",0.58,198321,0.00,2323.95,0,6
Axis Bank,427.30,5.78,35987021,0.00,427.30,0,13265
Bajaj Auto,"2,505.75",2.47,1128657,0.00,2505.75,0,359
Bajaj Consumer ,145.25,-0.10,278746,145.25,0.00,35,0
Bajaj Electric,335.95,0.10,80947,0.00,335.95,0,21
Bajaj Finance,"2,044.05",3.43,14495302,2044.05,0.00,228,0
Bajaj Finserv,"4,617.50",5.19,1133888,4617.50,0.00,1443,0
Bajaj Holdings,"1,897.45",0.84,20249,1897.45,0.00,8,0
Balkrishna Ind,905.70,4.37,807545,0.00,905.70,0,247
Balmer Lawrie,101.75,0.35,138401,0.00,0.00,0,0
Balrampur Chini,100.40,2.08,522351,100.40,0.00,956,0
Bandhan Bank,208.35,4.99,10393596,208.35,0.00,3027,0
Bank of Baroda,46.75,0.86,17015660,0.00,46.75,0,4730
Bank of India,33.75,0.45,3617200,0.00,33.75,0,404
Bank of Mah,9.55,-1.04,613007,9.55,0.00,60,0
BASF,"1,052.35",0.94,17589,0.00,1052.35,0,8
Bata India,"1,290.20",4.09,1572375,1290.20,0.00,690,0
